FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
14432,1,4,2,182.7259979,44.5485992,15.4630003,1192.180054,14.8783998,1.77004,11.2161999,0.735016,0.0485909,0.337465,145.3220062
67,1,4,5,276.3399963,22.4536991,13.4035997,1138.089966,67.6564026,1.92551,5.05405,0.760252,0.366386,0.804348,217.0500031
26382,1,4,5,84.4725037,16.6429005,15.2803001,1176.939941,92.5154037,1.4010299,-7.10811,0.772871,0.307566,0.638752,28.5
27361,1,4,2,192.723999,20.1287003,7.9352198,1178.810059,41.7615013,1.6030999,-1.43243,0.694006,0.203235,0.63939,258.0780029
40,1,4,1,297.071991,7.7453799,23.9081001,1138.339966,27.6597996,1.92856,-8.4864902,0.791798,0.721875,-0.355178,28.5
2014,1,2,5,197.8789978,112.3949966,15.9461002,1168.530029,56.8802986,1.85762,2.7567599,0.589905,0.311585,0.687769,1797.310059
22241,1,4,5,95.7106018,69.1239014,23.7870998,1187.069946,144.8379974,1.65887,-2.1351399,0.66877,0.323845,0.821928,346.7170105
2789,1,3,4,267.9549866,14.3400002,13.8079004,1165.98999,89.2595978,1.8298399,0.540541,0.741325,0.164402,0.541497,868.197998
4986,1,2,5,55.7843018,4.8804002,7.5532699,1174.439941,13.9660997,1.6807899,3.94595,0.829653,0.321903,0.67576,28.5
20021,1,4,1,281.9760132,10.4834003,8.4162703,1183.380005,34.5699005,1.58022,-5.8648601,0.744479,0.486239,-0.313559,80.610199
27413,1,4,1,326.3099976,23.2866001,17.5508995,1171.780029,51.4371986,1.40547,-2.1351399,0.744479,0.350427,-0.395022,40.3050995
4390,1,2,5,95.8695984,41.2518997,25.2565994,1173.130005,108.3960037,1.7760201,-7.6216202,0.643533,0.384001,0.799639,153.477005
7408,1,2,5,300.9639893,21.0604992,7.2869701,1183.790039,41.2549019,1.5755301,-9.5135098,0.782334,0.337024,0.732068,387.6419983
1283,1,2,2,277.927002,28.6205006,19.281601,1153.079956,21.0244999,2.0759001,1.94595,0.719243,0.162661,0.429549,443.3559875
28155,1,4,4,69.4440002,14.7223997,34.0007019,1176.079956,120.7850037,1.4273,-9.4324303,0.678233,0.256575,0.596018,627.6469727
2635,1,2,5,274.3989868,13.9207001,24.5834999,1167.630005,53.1509018,1.80283,-3.3243201,0.700315,0.36886,0.711643,180.25
12366,1,4,5,188.1300049,26.0802002,10.5410995,1192.479981,45.2672997,1.8379,-8.1621599,0.719243,0.303553,0.736274,561.3850098
2568,1,2,3,248.1990051,56.649601,18.2973995,1168.310059,21.7397003,1.7642699,14.8378,0.766562,0.380843,0.78284,268.8680115
25999,1,2,3,293.6289978,85.8348007,17.0345993,1173.300049,81.4921036,1.39308,-4.6756802,0.608833,0.306504,0.703998,387.6419983
6601,1,2,1,231.7100067,8.6516504,6.0605602,1184.150024,40.1520996,1.575,-7.4594598,0.810726,0.610242,-0.31725,114
20833,1,4,5,77.5500031,32.4073982,19.0781002,1183.530029,38.0446014,1.57242,12.9459,0.662461,0.337292,0.780519,153.477005
27457,1,2,3,292.1839905,32.2607994,44.2963982,1172.479981,151.0630035,1.39472,-3.6756799,0.690852,0.399729,0.814281,161.2200012
3638,1,2,5,224.2259979,13.0628996,24.6571007,1162.599976,104.3830032,1.93796,-1.89189,0.621451,0.379334,0.788814,173.3589935
25077,1,4,5,236.3099976,8.5720997,3.6194401,1189.800049,62.1108017,1.77112,-9.8378401,0.684543,0.406652,0.777225,4482.75
669,1,4,5,117.5530014,47.7085991,34.3209991,1142.949951,74.052597,1.9052401,-12.5676003,0.694006,0.32472,0.808561,85.5
19966,1,4,1,289.7080078,37.0428009,31.9759998,1183.199951,31.0172997,1.58178,1.94595,0.763407,0.339227,0.520703,80.610199
20774,1,4,3,47.6026001,39.4140015,15.2803001,1183.569946,22.9123993,1.57323,6.8378401,0.665615,0.356208,0.781408,117.5090027
20331,1,4,3,355.3330078,46.4930992,23.3283005,1181.130005,17.6653004,1.7724,3.43243,0.722397,0.317884,0.745757,313.5
9674,1,4,2,268.6679993,3.9602499,10.6831999,1191.880005,26.0259991,1.73622,-2.54054,0.820189,0.0090206,0.185914,958.0410156
14134,1,4,4,85.1008987,12.1210003,17.1263008,1191.849976,115.314003,1.77702,-7.4594598,0.62776,0.269162,0.644289,637.2789917
15381,1,4,2,139.7640076,24.5484009,4.2715101,1191.73999,38.4146004,1.77051,3.43243,0.782334,0.0615258,0.187701,102.7580032
19274,1,4,1,353.7969971,11.5780001,22.0914993,1185.670044,24.8024006,1.58333,-4.94595,0.782334,0.300901,0.678419,595.0969849
26645,1,4,3,324.7070007,21.3008003,25.5594997,1175.430054,115.6380005,1.40364,-3.3513501,0.621451,0.291879,0.6723,180.25
12126,1,4,4,154.8320007,19.1224995,21.9109993,1192.329956,17.4556999,1.7667,5.5405402,0.77918,0.269403,0.779276,387.6419983
3677,1,2,1,324.4620056,3.81266,10.6831999,1162.48999,114.3840027,1.93958,-6.5945902,0.649842,0.210526,-0.0054054,114
9590,1,3,5,23.1986008,4.76086,13.1603003,1192.410034,12.8886995,1.70728,-5.02703,0.794953,0.289701,0.67057,2467.51001
10347,1,4,2,323.9150085,21.2957993,17.7553997,1190.160034,64.8893967,1.72232,-4.97297,0.700315,0.178449,0.363747,650.5250244
15340,1,4,2,45,14.552,9.1612101,1191.819946,25.0632,1.7733001,-5.8108101,0.817035,0.0958987,0.211333,254.9120026
24461,1,4,3,271.3320007,59.0908012,20.6711998,1176.810059,10.4651003,1.6158201,4.97297,0.611987,0.320874,0.717383,171
4017,1,2,5,113.0619965,38.6408997,25.7089005,1174.75,194.9519958,1.7760201,5.97297,0.62776,0.380776,0.829742,40.3050995
21353,1,4,3,315,16.0161991,0.355383,1184.52002,81.0255966,1.57754,-3.3243201,0.716088,0.282656,0.690271,550.4260254
26184,1,4,5,56.6893997,36.4600983,20.1721001,1177.089966,84.7494965,1.4048899,6.5405402,0.735016,0.313209,0.719976,28.5
12743,1,4,5,90,22.8742008,1.50744,1192.52002,44.6898994,1.84187,0,0.763407,0.38517,0.765092,463.9460144
22745,1,4,5,122.6190033,73.4264984,14.5937996,1185.310059,20.1662998,1.5941401,5.7297301,0.725552,0.309179,0.727687,1072.829956
12122,1,4,2,189.2460022,28.2863007,10.8176003,1192.349976,7.69734,1.7667,7,0.763407,0.21554,0.72426,497.7309875
12622,1,4,5,153.4349976,23.7870998,7.8179698,1192.459961,18.9491005,1.7667,2.7567599,0.753943,-0.0845651,0.368841,370.5
8964,1,4,2,25.8602009,84.441803,48.1417999,1192.040039,45.8791008,1.7681,12.3242998,0.757098,0.420699,0.802056,912.4450073
27126,1,4,2,146.3099976,23.6847,1.81153,1178.060059,129.9360046,1.56937,-7.08108,0.722397,0.130786,0.3823,0
9983,1,4,5,51.3401985,30.7565994,6.4094801,1191.920044,100.9229965,1.70895,-11.2702999,0.640379,0.307092,0.738265,1365.920044
5813,1,4,5,147.9949951,22.9241009,18.3153992,1182.27002,59.7262993,1.55817,-4.3513498,0.719243,0.356782,0.736572,28.5
8001,1,4,3,305.9100037,46.3709984,17.4363995,1187.609985,23.6208992,1.69749,1.91892,0.694006,0.346239,0.686311,254.9120026
24100,1,4,4,130.2359924,25.9869003,4.2715101,1181.229981,130.6450043,1.71969,0.27027,0.697161,0.325402,0.659384,191.1840057
28376,1,4,5,82.4054031,12.0286999,14.8683004,1176.040039,99.194603,1.42468,-2,0.70347,0.30041,0.773401,153.477005
20168,1,4,1,357.8789978,34.9786987,19.5706005,1184.23999,40.0407982,1.5807,6.7567601,0.681388,0.352561,0.746606,57
8393,1,4,3,267.9689941,47.1388016,31.7495995,1185.439941,88.3803024,1.63202,3.91892,0.700315,0.408063,0.83983,228
1326,1,2,2,171.8699951,6.62428,7.07163,1152.969971,75.3552017,2.0759001,-1.81081,0.712934,0.158931,0.320779,80.610199
12213,1,4,2,95.4403,20.5890007,10.4836998,1192.469971,21.4734993,1.80414,0.783784,0.77918,0.0078687,0.62457,85.5
14452,1,4,1,0,4.4203,6.0090098,1191.680054,48.5868988,1.77785,-2.3783801,0.791798,0.323944,0.0017762,28.5
